participant_name,collapsed_participant_type,hdbscan_label,is_core,is_tail
phd_contributor_wbgok,Human,-1,False,True
phd_contributor_ul2n5,Human,-1,False,True
phd_contributor_yedjp,Human,-1,False,True
phd_contributor_c5sgk,Human,-1,False,True
phd_contributor_45ypj,Human,-1,False,True
phd_contributor_5nazt,Human,-1,False,True
phd_contributor_mdmrd,Human,-1,False,True
phd_contributor_kmwj4,Human,-1,False,True
phd_contributor_zbjey,Human,-1,False,True
phd_contributor_2xy9o,Human,-1,False,True
phd_contributor_z7ttj,Human,-1,False,True
phd_contributor_le01h,Human,-1,False,True
phd_contributor_giyw7,Human,0,True,False
phd_contributor_7x004,Human,-1,False,True
phd_contributor_ayd29,Human,-1,False,True
phd_contributor_558ea,Human,-1,False,True
phd_contributor_dwdg8,Human,-1,False,True
phd_contributor_fojz7,Human,-1,False,True
phd_contributor_ogfiu,Human,-1,False,True
phd_contributor_rvget,Human,-1,False,True
phd_contributor_zcof0,Human,-1,False,True
phd_contributor_yg9p5,Human,0,True,False
phd_contributor_5wz57,Human,-1,False,True
phd_contributor_wqux6,Human,-1,False,True
phd_contributor_mcaaw,Human,-1,False,True
phd_contributor_1kwwe,Human,-1,False,True
phd_contributor_iv4qg,Human,0,True,False
phd_contributor_c9vs4,Human,-1,False,True
phd_contributor_mrqrj,Human,-1,False,True
phd_contributor_zi2lh,Human,-1,False,True
phd_contributor_559wp,Human,0,True,False
phd_contributor_34xvl,Human,-1,False,True
phd_contributor_kyj4r,Human,-1,False,True
phd_contributor_ama1n,Human,-1,False,True
phd_contributor_0k61g,Human,-1,False,True
phd_contributor_dpw1t,Human,0,True,False
phd_contributor_1gofd,Human,-1,False,True
phd_contributor_4luvh,Human,-1,False,True
phd_contributor_mfkek,Human,0,True,False
phd_contributor_81m5u,Human,-1,False,True
phd_contributor_blzc1,Human,-1,False,True
phd_contributor_c5rzh,Human,0,True,False
phd_contributor_iuy3c,Human,-1,False,True
phd_contributor_upzfq,Human,-1,False,True
phd_contributor_7nisc,Human,-1,False,True
phd_contributor_41mim,Human,-1,False,True
phd_contributor_8fcno,Human,-1,False,True
phd_contributor_9b8k7,Human,-1,False,True
phd_contributor_9pm5a,Human,-1,False,True
phd_contributor_2rhpt,Human,-1,False,True
phd_contributor_z9ezk,Human,-1,False,True
phd_contributor_z2j87,Human,0,True,False
phd_contributor_872ey,Human,-1,False,True
phd_contributor_7trlj,Human,-1,False,True
phd_contributor_1nw3h,Human,-1,False,True
phd_contributor_0r0es,Human,0,True,False
phd_contributor_ly6qj,Human,-1,False,True
phd_contributor_drr4r,Human,-1,False,True
phd_contributor_u3rga,Human,-1,False,True
phd_contributor_5cv1y,Human,-1,False,True
senior_contributor_zi680,Human,-1,False,True
senior_contributor_tjek9,Human,-1,False,True
senior_contributor_mkvct,Human,-1,False,True
senior_contributor_jakh3,Human,-1,False,True
senior_contributor_unrjy,Human,-1,False,True
senior_contributor_ogh5x,Human,-1,False,True
senior_contributor_ecdev,Human,-1,False,True
senior_contributor_mxspa,Human,-1,False,True
senior_contributor_h1ror,Human,-1,False,True
senior_contributor_uhvrz,Human,-1,False,True
senior_contributor_5cvcm,Human,-1,False,True
senior_contributor_8pxf3,Human,-1,False,True
senior_contributor_wylyg,Human,-1,False,True
GPT_5.3_instant,GenAI,0,True,False
GPT_5.2_instant,GenAI,-1,False,True
Gemini_3_fast,GenAI,0,True,False
Claude_sonnet4.6,GenAI,0,True,False
Grok4_fast,GenAI,0,True,False
Grok4_expert,GenAI,0,True,False
Mistral_balanced,GenAI,0,True,False
DeepSeek_expert,GenAI,0,True,False
Claude_opus4.7,GenAI,0,True,False
Claude_opus4.7_adaptive,GenAI,0,True,False
Qwen_3.6Plus_thinking,GenAI,0,True,False
Claude_opus4.8,GenAI,0,True,False
Claude_opus4.8_adaptive,GenAI,0,True,False
Mistral_thinking,GenAI,0,True,False
Qwen_3.7Plus_thinking,GenAI,0,True,False
GPT_5.5_thinking_standard,GenAI,0,True,False
GPT_5.5_thinking_extended,GenAI,0,True,False
GPT_5.4_thinking_standard,GenAI,0,True,False
GPT_5.4_thinking_extended,GenAI,0,True,False
gemini_3.1_pro_standard,GenAI,0,True,False
Theorista_GPT5.5_instant,GenAI,0,True,False
Theorista_GPT5.5_thinking_standard,GenAI,0,True,False
Qwen_3.8Max_thinking,GenAI,-1,False,True
gemini_3.6flash_extended,GenAI,0,True,False
GPT_5.6Sol_high,GenAI,0,True,False
